name,dose,tier_num,tier_desc,cost_30,cost_90,management,year
AFINITOR,DISPERZ 2 MG TABLET,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AFINITOR,DISPERZ 3 MG TABLET,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AFINITOR,DISPERZ 5 MG TABLET,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AFINITOR,TABLETS 10 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
AFINITOR,TABLETS 2.5 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
AFINITOR,TABLETS 5 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
ALBENZA,200 MG TABLET,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ALBUTEROL,SUL 2.5 MG/3 ML SOLN,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,"SULFATE 0.75MG/3ML 30 POUCH PER CARTON / 1 VIAL, SINGLE-DOSE IN 1 POUCH / 3 ML IN 1 VIAL",2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE 1.25MG/3ML VIAL NEBULIZER,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE 2 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE 4 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE INHALATION SOLUTION 0.5% 20ML BOTDR,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE SYRUP 2MG/5ML 16 FLO BOT,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALECENSA,150 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:240/30Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 10 MG TAB,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 35 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:4/28Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 40 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 70 MG TAB,2,Generic,$1.00 ,$0.00 ,Q:4/28Days,2018-01-01T00:00:00Z
ALENDRONIC,ACID 5 MG ORAL TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALFUZOSIN,HCL ER 10 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALIMTA,500MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ALINIA,100 MG/5 ML SUSPENSION,4,Non-Preferred Drug,35%,30%,Q:150/30Days,2018-01-01T00:00:00Z
ALINIA,500 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:40/30Days,2018-01-01T00:00:00Z
ALLOPURINOL,100 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALLOPURINOL,300 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALPRAZOLAM,0.25 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
ALPRAZOLAM,0.5 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
ALPRAZOLAM,1 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
ALPRAZOLAM,2 MG TABLET,3,Preferred Brand,20%,15%,Q:150/30Days,2018-01-01T00:00:00Z
ALUNBRIG,30 MG TABLET,5,Specialty Tier,25%,N/A,P Q:180/30Days,2018-01-01T00:00:00Z
AMABELZ,0.5 MG/0.1 MG 28 TABLET/BLISTER PACK 3 PER CARTON,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMABELZ,1 MG/0.5 MG 28 TABLET/BLISTER PACK 3 PER CARTON,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMANTADINE,100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMANTADINE,100MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMANTADINE,50 MG/5 ML SOLUTION,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AMBISOME,50MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AMETHIA,LO TABLET,4,Non-Preferred Drug,35%,30%,Q:91/90Days,2018-01-01T00:00:00Z
AMIKACIN,SULF 500 MG/2 ML VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMILORIDE,HCL 5 MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AMILORIDE,HCL-HCTZ 5-50 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% IN DEXTROSE 10%  INJECTABLE SOLUTION [CLINIMIX 4.25/10],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% IN DEXTROSE 20%  INJECTABLE SOLUTION [CLINIMIX 4.25/20],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% IN DEXTROSE 5% INJECTABLE SOLUTION [CLINIMIX 4.25/5],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% WITH ELECTROLYTES IN DEXTROSE 10%  INJECTABLE SOLUTION [CLINIMIX E 4.25/10],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 5% WITH ELECTROLYTES IN DEXTROSE 20% INJECTABLE SOLUTION [CLINIMIX E 5/20],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 5% WITH ELECTROLYTES IN DEXTROSE 25%  INJECTABLE SOLUTION [CLINIMIX E 5/25],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOPHYLLINE,25 MG/ML 10 ML INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMINOSYN,7%-ELECTROLYTE SOL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,HBC INJECTION SULFITE FREE 7%,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 10% SOL 6X2000 ML,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 15% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 7% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 8.5% ELECTROLYT,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 8.5% ELECTROLYT,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,PF INJECTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,WITH ELECTROLYTES SULFITE FREE INJECTION 8.5%,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN-PF,7% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN-RF,5.2% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMIODARONE,HCL 100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMIODARONE,HCL 200 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMIODARONE,HCL 400 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMITRIP/PERPHEN,10-4 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMITRIP/PERPHEN,50-4 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 10 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 100 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 150 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 25 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 50 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 75 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE 10 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE 2.5 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE 5 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE-BENAZEPRIL 10MG-20MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE-BENAZEPRIL 5-10MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE-BENAZEPRIL 5MG-20MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE-BENAZEPRIL,10-40 MG,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
AMLODIPINE-BENAZEPRIL,2.5-10,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE-BENAZEPRIL,5-40 MG,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
AMMONIUM,LACTATE 12% CREAM,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMMONIUM,LACTATE 12% LOTION,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 200-28.5MG TABLET CHEWABLE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 250-125MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 400-57MG TABLET CHEWABLE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 400-57MG/5 SUSPENSION RECONSTITUTED ORAL,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,200-28.5 MG/5 ML SUS,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,250-62.5 MG/5 ML SUS,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,500-125 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,600-42.9 MG/5 ML SUS,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,875-125 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXAPINE,100MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXAPINE,150MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXAPINE,25MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXAPINE,50MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXICILLIN,125 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,125MG TABLET CHEW,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,200 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,250 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,250 MG TAB CHEW,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,250 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,400 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,500 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,500 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,875 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,AND CLAVULANATE POTASSIUM TABLETS EXTENDED RELEASE 1000;62.5MG;MG,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPHETAMINE,SALT COMBO 12.5MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
AMPHETAMINE,SALT COMBO 15MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
AMPHETAMINE,SALT COMBO 7.5MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
AMPHOTERICIN,B 50MG/10ML 10 ML IN 1 VIAL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMPICILLIN,1000 MG INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,"125MG/1 10 VIAL, GLASS IN 1 PACKAGE / 1 INJECTION, POWDER, FOR SOLUTION IN 1 VIAL, GLASS",4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,2000 MG / SULBACTAM 1000 MG INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,250 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN,500 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN,FOR INJECTION POWDER,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,FOR ORAL SUSPENSION 125MG 100ML BOT,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN,FOR ORAL SUSPENSION 250MG 100ML BOT,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN-SULBACTAM,15 GM VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPYRA,ER 10 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018-01-01T00:00:00Z
ANADROL-50,TABLET,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ANAGRELIDE,HYDROCHLORIDE 0.5MG/1 100 CAPSULE BOTTLE,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
ANAGRELIDE,HYDROCHLORIDE 1MG/1 100 CAPSULE BOTTLE,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
ANASTROZOLE,1 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ANDROGEL,1.62% (1.25G) GEL PCKT,3,Preferred Brand,20%,15%,Q:38/30Days,2018-01-01T00:00:00Z
ANDROGEL,1.62% (2.5G) GEL PCKT,3,Preferred Brand,20%,15%,Q:150/30Days,2018-01-01T00:00:00Z
ANDROGEL,"16.2MG/G 1 BOTTLE, PUMP PER CARTON / 88 G IN 1 BOTTLE, PUMP",3,Preferred Brand,20%,15%,Q:150/30Days,2018-01-01T00:00:00Z
ANORO,ELLIPTA 62.5-25 MCG INH,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
APOKYN,30 MG/3 ML CARTRIDGE,5,Specialty Tier,25%,N/A,Q:60/28Days,2018-01-01T00:00:00Z
APRACLONIDINE,5 MG/ML OPHTHALMIC SOLUTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
APREPITANT,125 MG CAPSULE [EMEND],4,Non-Preferred Drug,35%,30%,P Q:2/28Days,2018-01-01T00:00:00Z
APREPITANT,125-80-80 MG PACK [EMEND],4,Non-Preferred Drug,35%,30%,P Q:6/28Days,2018-01-01T00:00:00Z
APREPITANT,40 MG CAPSULE [EMEND],4,Non-Preferred Drug,35%,30%,P Q:2/28Days,2018-01-01T00:00:00Z
APREPITANT,80 MG CAPSULE [EMEND],4,Non-Preferred Drug,35%,30%,P Q:4/28Days,2018-01-01T00:00:00Z
APRI,0.15-0.03 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
APRISO,CP24,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
APTIOM,200 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
APTIOM,400 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
APTIOM,600 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
APTIOM,800 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
APTIVUS,250MG CAPSULE,5,Specialty Tier,25%,N/A,Q:120/30Days,2018-01-01T00:00:00Z
APTIVUS,ORAL SOLUTION 100MG/ML 95 ML BOT,5,Specialty Tier,25%,N/A,Q:285/28Days,2018-01-01T00:00:00Z
ARALAST,NP 500 MG VIAL,5,Specialty Tier,25%,N/A,P Q:44/30Days,2018-01-01T00:00:00Z
ARANELLE,7-9-5 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ARCALYST,INJECTION 220MG/VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ARGATROBAN,250 MG VL 2.5 ML,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ARIPIPRAZOLE,10 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,15 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,2 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,20 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,30 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,5 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,ODT 10 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ARIPIPRAZOLE,ODT 15 MG TABLET [ABILIFY],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ARISTADA,ER 1064 MG/3.9 ML SYR,5,Specialty Tier,25%,N/A,Q:4/56Days,2018-01-01T00:00:00Z
ARISTADA,ER 441 MG/1.6 ML SYRN,5,Specialty Tier,25%,N/A,P Q:2/28Days,2018-01-01T00:00:00Z
ARISTADA,ER 662 MG/2.4 ML SYRN,5,Specialty Tier,25%,N/A,P Q:2/28Days,2018-01-01T00:00:00Z
ARISTADA,ER 882 MG/3.2 ML SYRN,5,Specialty Tier,25%,N/A,P Q:3/28Days,2018-01-01T00:00:00Z
ARMODAFINIL,150 MG TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARMODAFINIL,200 MG ORAL TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARMODAFINIL,250 MG TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ARMODAFINIL,50 MG TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ARNUITY,ELLIPTA 100 MCG INH,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
ARNUITY,ELLIPTA 200 MCG INH,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
