"","name","tier_num_2013","tier_num_2014","tier_num_2015","tier_num_2016","tier_num_2017","tier_num_2018","tier_diff_2013_2018"
"71","ALENDRONATE SODIUM 10MG TABLET",2,2,2,2,0,0,-2
"72","ALENDRONATE SODIUM 40MG TABLET",2,2,2,2,0,0,-2
"73","ALENDRONATE SODIUM 5MG TABLET",2,2,2,2,0,0,-2
"74","ALENDRONATE SODIUM 70MG/1",2,0,0,0,0,0,-2
"75","ALENDRONATE SODIUM TABLET 35MG 20 CRTN",2,0,0,0,0,0,-2
"76","ALFUZOSIN HYDROCHLORIDE 10MG/1 100 TABLET, EXTENDED RELEASE IN 1 BOTTLE",2,2,2,2,2,0,-2
"77","ALINIA 100MG/5ML SUSPENSION",2,2,2,2,0,0,-2
"78","ALKERAN 1 KIT IN 1 CARTON",2,0,0,0,0,0,-2
"79","ALLOPURINOL 300MG/1 100 BLISTER PACK IN 1 BOX, UNIT-DOSE / 1 TABLET IN 1 BLISTER PACK",2,0,0,0,0,0,-2
"80","ALLOPURINOL SODIUM 500MG VIAL",2,0,0,0,0,0,-2
"81","ALLOPURINOL TABLETS",2,0,0,0,0,0,-2
"82","ALSUMA 6MG/0.5ML 2 SYRINGE IN 1 PACKAGE / 0.5 ML IN 1 SYRINGE",2,2,2,0,0,0,-2
"83","ALTABAX 10MG/G 30 G IN 1 TUBE",2,2,2,2,0,0,-2
"84","AMANTADINE 100MG TABLET",2,2,2,2,2,0,-2
"85","AMANTADINE HYDROCHLORIDE 50MG/5ML 473 ML IN 1 BOTTLE",2,2,2,2,2,0,-2
"86","AMCINONIDE 0.1% CREAM",2,2,2,2,0,0,-2
"87","AMCINONIDE 0.1% LOTION",2,2,2,2,0,0,-2
"88","AMCINONIDE 0.1% OINTMENT 60GM TUBE",2,2,2,2,0,0,-2
"89","AMIFOSTINE 50MG/ML 3 VIAL, SINGLE-USE IN 1 CARTON / 10 ML IN 1 VIAL, SINGLE-USE",2,0,0,0,0,0,-2
"90","AMIKACIN 50MG/ML VIAL",2,0,0,0,0,0,-2
"91","AMIKACIN SULFATE 1G/4ML 10 VIAL, SINGLE-DOSE IN 1 CARTON / 4 ML IN 1 VIAL, SINGLE-DOSE",2,0,0,0,0,0,-2
"92","AMILORIDE HCL W/HCTZ 5MG-50MG TABLET",2,2,2,2,2,0,-2
"93","AMILORIDE HYDROCHLORIDE TABLETS 5MG 100 BOT",2,2,2,2,2,0,-2
"94","AMINOPHYLLINE 25MG/ML 5 TRAY IN 1 CARTON / 5 AMPULE IN 1 TRAY / 10 ML IN 1 AMPULE",2,0,0,0,0,0,-2
"95","AMINOSYN II 10% IV SOLUTION",2,2,2,2,2,0,-2
"96","AMINOSYN II 8.5% IV SOLUTION",2,2,2,2,0,0,-2
"97","AMINOSYN II SULFITE-FREE 1490; 1527; 1050; 1107; 750; 450; 990; 1500; 1575; 258; 405; 447; 1083; 79",2,2,0,0,0,0,-2
"98","AMINOSYN M 3.5% IV SOLUTION",2,2,2,2,0,0,-2
"99","AMIODARONE HCL 200MG 60 TABLET BOTTLE",2,2,2,2,0,0,-2
"100","AMIODARONE HCL 400MG TABLET",2,2,2,2,2,0,-2
"101","AMIODARONE HCL INJECTION",2,0,0,0,0,0,-2
"102","AMITIZA 8MCG CAPSULE",2,0,0,0,0,0,-2
"103","AMITIZA CAPSULES 24MCG 60 CAP BOT",2,0,0,0,0,0,-2
"104","AMITRIP/PERPHEN 10-2 TABLET",2,2,2,2,2,0,-2
"105","AMITRIP/PERPHEN 25-2 TABLET",2,2,2,2,2,0,-2
"106","AMITRIP/PERPHEN 25-4 TABLET",2,2,2,2,2,0,-2
"107","AMITRIPTYLINE HCL 100MG TABLET",2,2,2,2,2,0,-2
"108","AMITRIPTYLINE HCL 10MG TABLET",2,2,2,2,2,0,-2
"109","AMITRIPTYLINE HCL 25MG TABLET USP (100 CT)",2,2,2,2,2,0,-2
"110","AMITRIPTYLINE HCL 75MG TABLET USP (100 CT)",2,2,2,2,2,0,-2
"111","AMITRIPTYLINE HCL TABLETS 50MG 100 BOT",2,2,2,2,2,0,-2
"112","AMLODIPINE BESYLATE 10MG TABLET (90 CT)",2,2,2,2,2,0,-2
"113","AMLODIPINE BESYLATE 2.5MG TABLET (90 CT)",2,2,2,2,2,0,-2
"114","AMLODIPINE BESYLATE 5MG TABLET (90 CT)",2,2,2,2,2,0,-2
"115","AMLODIPINE BESYLATE-BENAZEPRIL 2.5MG-10MG CAPSULE",2,2,2,2,2,0,-2
"116","AMMONIUM CHLORIDE 5 MEQ/ML",2,2,2,2,0,0,-2
"117","AMOX TR-K CLV 200-28.5/5 SUSP",2,2,2,0,0,0,-2
"118","AMOX TR-K CLV 500-125 MG TAB",2,2,2,2,2,0,-2
"119","AMOXICILLIN 250MG CAPSULE",2,2,2,2,2,0,-2
"120","AMOXICILLIN 250MG/1 500 TABLET, CHEWABLE IN 1 BOTTLE",2,2,0,0,0,0,-2
"121","AMOXICILLIN 50 MG/ML / CLAVULANATE 12.5 MG/ML ORAL SUSPENSION",2,2,2,2,2,0,-2
"122","AMOXICILLIN 500MG TABLET (100 CT)",2,2,2,2,2,0,-2
"123","AMOXICILLIN 500MG/1 500 CAPSULE IN 1 BOTTLE, PLASTIC",2,0,0,0,0,0,-2
"124","AMOXICILLIN 875MG TABLET",2,2,2,2,2,0,-2
"125","AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS 875;125MG;MG 20 BOT",2,2,2,2,2,0,-2
"126","AMOXICILLIN CLAVULANATE POTASSIUM FOR SUSPENSION 600-42.9MG 125ML BOT",2,2,2,2,2,0,-2
"127","AMOXICILLIN FOR ORAL SUSPENSION 125MG/5ML 100ML BOT",2,2,2,2,2,0,-2
"128","AMOXICILLIN FOR ORAL SUSPENSION 200MG/5ML 100ML BOTGL",2,2,2,2,2,0,-2
"129","AMOXICILLIN FOR ORAL SUSPENSION 250MG/5ML 100ML BOT",2,2,2,2,2,0,-2
"130","AMOXICILLIN FOR ORAL SUSPENSION 400MG/5ML 50ML BOTGL",2,2,2,2,2,0,-2
"131","AMPHETAMINE SALT COMBO 30MG TABLET",2,2,2,2,0,0,-2
"132","AMPHETAMINE SALTS 20MG TABLET",2,2,2,2,0,0,-2
"133","AMPHETAMINE SALTS 5 MG TAB",2,2,2,2,2,0,-2
"134","AMPHOTEC FOR INJECTION 50MG/VIAL",2,0,0,0,0,0,-2
"135","AMPICILLIN CAPSULES 250MG 100 BOT",2,2,2,2,2,0,-2
"136","AMPICILLIN CAPSULES 500MG 100 BOT",2,2,2,2,2,0,-2
"137","AMPICILLIN POWDER FOR INJECTION 1 GM/ML",2,2,2,2,2,0,-2
"138","AMPICILLIN-SULBACTAM 15 GM VL",2,2,0,0,0,0,-2
"139","AMPICILLIN-SULBACTAM 3 GM VIAL",2,2,2,2,2,0,-2
"140","AMTURNIDE 150; 5; 12.5MG/1; MG/1; MG/1 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"141","AMTURNIDE 300; 10; 12.5MG/1; MG/1; MG/1 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"142","AMTURNIDE 300; 10; 25MG/1; MG/1; MG/1 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"143","AMTURNIDE 300; 5; 12.5MG/1; MG/1; MG/1 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"144","AMTURNIDE 300; 5; 25MG/1; MG/1; MG/1 30 FILM COATED TABLETS IN BOTTLE",2,0,0,0,0,0,-2
"145","ANAGRELIDE HYDROCHLORIDE 0.5MG/1 100 CAPSULE IN 1 BOTTLE",2,0,0,0,0,0,-2
"146","ANAGRELIDE HYDROCHLORIDE 1MG/1 100 CAPSULE IN 1 BOTTLE",2,0,0,0,0,0,-2
"147","ANASTROZOLE 1MG/1 90 FILM COATED TABLETS IN BOTTLE, PLASTIC",2,2,2,2,2,0,-2
"148","ANCOBON 250MG CAPSULE",2,2,2,2,2,0,-2
"149","ANCOBON 500MG CAPSULE",2,2,2,2,2,0,-2
"150","ANDROGEL 1%(50MG) GEL PACKET",2,2,0,0,0,0,-2
"151","ANDROGEL 16.2MG/G 1 BOTTLE, PUMP IN 1 CARTON / 88 G IN 1 BOTTLE, PUMP",2,0,0,0,0,0,-2
"152","ANDROID 10 MG CAPSULE",2,2,0,0,0,0,-2
"153","APAP-CAFFEINE-DIHYDROCODE TAB 30 EA",2,0,0,0,0,0,-2
"154","APRACLONIDINE OPHTHALMIC 5MG/ML 1 BOTTLE, DROPPER IN 1 CARTON / 10 ML IN 1 BOTTLE, DROPPER",2,0,0,0,0,0,-2
"155","ARALAST NP 1 KIT IN 1 CARTON",2,0,0,0,0,0,-2
"156","ARCAPTA NEOHALER 75UG/1 30 BLISTER PACK IN 1 BOX / 1 CAPSULE IN 1 BLISTER PACK",2,0,0,0,0,0,-2
"157","ARGATROBAN 100MG/ML 1 VIAL IN 1 CARTON / 2.5 ML IN 1 VIAL",2,0,0,0,0,0,-2
"158","ARRANON 250MG VIAL",2,2,2,2,0,0,-2
"159","ARZERRA 20MG/ML 3 VIAL IN 1 CARTON / 5 ML IN 1 VIAL",2,0,0,0,0,0,-2
"160","ASMANEX 220UG/1 1 POUCH IN 1 POUCH / 1 INHALER IN 1 POUCH / 14 INHALANT IN 1 INHALER",2,0,0,0,0,0,-2
"161","ASMANEX TWISTHALER 110 MCG #30",2,2,2,2,0,0,-2
"162","ASMANEX TWISTHALER 220MCG #120",2,2,2,2,0,0,-2
"163","ASMANEX TWISTHALER 220MCG #30",2,2,0,0,0,0,-2
"164","ASMANEX TWISTHALER 220MCG #60",2,2,2,2,0,0,-2
"165","ASTRAMORPH PF INJECTION 0.5MG/ML",2,0,0,0,0,0,-2
"166","ASTRAMORPH PF INJECTION 1MG/ML",2,0,0,0,0,0,-2
"167","ATELVIA 35MG/1 36 DOSE PACK CASE / 4 TABLET, DELAYED RELEASE IN 1 DOSE PACK",2,2,2,2,2,0,-2
"168","ATENOLOL 100MG 100 TABLET BOTTLE",2,0,0,0,0,0,-2
"169","ATENOLOL 25MG 100 TABLET BOTTLE",2,2,0,0,0,0,-2
"170","ATENOLOL TABLET USP 50MG (100 CT)",2,2,2,2,2,0,-2
"171","ATENOLOL/CHLORTHALIDONE TABLET 100-25MG (100 CT)",2,0,0,0,0,0,-2
"172","ATORVASTATIN 10 MG TABLET",2,0,0,0,0,0,-2
"173","ATORVASTATIN 20 MG TABLET",2,0,0,0,0,0,-2
"174","ATORVASTATIN 40 MG TABLET",2,0,0,0,0,0,-2
"175","ATORVASTATIN 80 MG TABLET",2,0,0,0,0,0,-2
"176","ATOVAQUONE AND PROGUANIL HYDROCHLORIDE 250; 100MG/1; MG/1",2,0,0,0,0,0,-2
"177","ATROPINE 0.05MG/ML SYRINGE",2,2,2,2,0,0,-2
"178","ATROPINE 0.1MG/ML SYRINGE",2,2,2,2,0,0,-2
"179","AUGMENTED BETAMETHASONE DIPROPIONATE OINTMENT",2,2,2,0,0,0,-2
"180","AVELOX IV 400MG/250ML",2,2,0,0,0,0,-2
"181","AVODART 0.5MG SOFTGEL",2,2,2,2,0,0,-2
"182","AVONEX ADMIN PACK 30MCG SYR",2,2,2,0,0,0,-2
"183","AVONEX ADMIN PACK 30MCG VL",2,2,2,0,0,0,-2
"184","AZASITE 1% DROPS",2,2,0,0,0,0,-2
"185","AZATHIOPRINE 50MG TABLET",2,2,2,0,0,0,-2
"186","AZATHIOPRINE SOD 100MG VIAL",2,0,0,0,0,0,-2
"187","AZELASTINE HYDROCHLORIDE OPHTHALMIC SOLUTION",2,2,2,2,2,0,-2
"188","AZILECT 0.5MG TABLET",2,2,2,2,2,0,-2
"189","AZILECT 1MG TABLET",2,2,2,2,2,0,-2
"190","AZITHROMYCIN 100MG/5ML SUSPENSION RECONSTITUTED ORAL",2,0,0,0,0,0,-2
"191","AZITHROMYCIN 200MG/5ML SUSPENSION RECONSTITUTED ORAL",2,0,0,0,0,0,-2
"192","AZITHROMYCIN 500MG/1 10 VIAL, SINGLE-USE IN 1 TRAY / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",2,2,2,2,2,0,-2
"193","AZITHROMYCIN 600MG/1 30 FILM COATED TABLETS IN BOTTLE",2,2,2,2,2,0,-2
"194","AZOPT SUSPENSION OPHTHALMIC 1% 15ML BOT",2,2,2,2,2,0,-2
"195","BOOSTRIX 8; 2.5; 8; 5; 2.5UG/0.5ML; UG/0.5ML; UG/0.5ML; [IU]/0.5ML; [IU]/0.5ML",2,2,0,0,0,0,-2
"196","CEFACLOR CAPSULES",2,0,0,0,0,0,-2
"197","CLARITHROMYCIN FOR ORAL SUSPENSION",2,0,0,0,0,0,-2
"198","DESOXIMETASONE 0.5MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,0,0,-2
"199","DOCEFREZ 1 KIT IN 1 CARTON",2,0,0,0,0,0,-2
"200","DONEPEZIL HYDROCHLORIDE TABLETS",2,0,0,0,0,0,-2
"201","DULERA INHALATION AEROSOL",2,2,2,2,0,0,-2
"202","FLUCONAZOLE ORAL SUSPENSION",2,0,0,0,0,0,-2
"203","FLUCONAZOLE TABLETS",2,0,0,0,0,0,-2
"204","FLUOCINONIDE 0.5MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,0,0,-2
"205","GLIPIZIDE TABLETS EXTENDED RELEASE",2,0,0,0,0,0,-2
"206","GLYBURIDE TABLETS",2,0,0,0,0,0,-2
"207","HALOBETASOL PROPIONATE 0.5MG/G 1 TUBE IN 1 CARTON / 50 G IN 1 TUBE",2,0,0,0,0,0,-2
"208","HYDROMORPHONE HYDROCHLORIDE TABLETS",2,0,0,0,0,0,-2
"209","MORPHINE SULFATE ORAL SOLUTION",2,0,0,0,0,0,-2
"210","MORPHINE SULFATE TABLETS",2,0,0,0,0,0,-2
"211","NADOLOL TABLETS",2,0,0,0,0,0,-2
"212","NARATRIPTAN TABLETS",2,0,0,0,0,0,-2
"213","NYSTATIN 100000[USP'U]/G 1 TUBE IN 1 CARTON / 30 G IN 1 TUBE",2,0,0,0,0,0,-2
"214","PROPAFENONE HYDROCHLORIDE CAPSULES EXTENDED RELEASE",2,0,0,0,0,0,-2
"215","SORIATANE CAPSULES",2,0,0,0,0,0,-2
"216","TORSEMIDE TABLETS",2,0,0,0,0,0,-2
"217","TRETINOIN 0.25MG/G 1 TUBE IN 1 CARTON / 45 G IN 1 TUBE",2,0,0,0,0,0,-2
"218","TWINJECT AUTO INJECTOR INJECTION 1% AUTO INJECTOR TWO PACK SYR",2,0,0,0,0,0,-2
"219","ZAFIRLUKAST TABLETS",2,0,0,0,0,0,-2
"220","BACITRACIN 500[IU]/G 1 TUBE IN 1 CARTON / 3.5 G IN 1 TUBE",1,0,0,0,0,0,-1
"221","BACLOFEN 10MG TABLET",1,1,1,1,1,0,-1
"222","BACTROBAN 2% CREAM",1,1,0,0,0,0,-1
"223","BARACLUDE 0.05MG/ML 1 BOTTLE IN 1 CARTON / 210 ML IN 1 BOTTLE",1,0,0,0,0,0,-1
"224","BARACLUDE 0.5MG TABLET",1,1,1,0,0,0,-1
"225","BARACLUDE 1MG TABLET",1,1,1,0,0,0,-1
"226","BENAZEPRIL HCL 10MG TABLET",1,1,1,1,1,0,-1
"227","BENAZEPRIL HCL 20MG/1 100 FILM COATED TABLETS IN BOTTLE, PLASTIC",1,1,1,1,1,0,-1
"228","BENAZEPRIL HCL 40MG TABLET",1,1,1,1,1,0,-1
"229","BENAZEPRIL HCL 5MG TABLET",1,1,1,1,1,0,-1
"230","BENLYSTA 120MG/1.5ML 1 VIAL IN 1 CARTON / 1.5 ML IN 1 VIAL",1,0,0,0,0,0,-1
"231","BENZTROPINE MESYLATE 1MG 100 TABLET BOTTLE",1,1,1,1,0,0,-1
"232","BENZTROPINE MESYLATE 1MG/ML 5 VIAL, SINGLE-USE IN 1 CARTON / 2 ML IN 1 VIAL, SINGLE-USE",1,0,0,0,0,0,-1
"233","BENZTROPINE MESYLATE 2MG/1 100 TABLET BOTTLE",1,1,0,0,0,0,-1
"234","BENZTROPINE MESYLATE TABLETS",1,0,0,0,0,0,-1
"235","BETAMETHASONE DIPROPIONATE 0.05% CREAM",1,1,0,0,0,0,-1
"236","BETAMETHASONE DIPROPIONATE 0.60MG/ML 60 ML IN 1 BOTTLE",1,1,1,1,1,0,-1
"237","BETAMETHASONE DIPROPIONATE 0.64MG/ML 60 ML IN 1 BOTTLE",1,1,1,1,1,0,-1
"238","BETAMETHASONE VALERATE CREAM",1,1,1,1,1,0,-1
"239","BETASERON KIT 0.3MG/VIAL 14 TRAY BOX PKGCOM",1,0,0,0,1,0,-1
"240","BETAXOLOL 10MG/1",1,0,0,0,0,0,-1
"241","BETAXOLOL 20MG/1 100 FILM COATED TABLETS IN BOTTLE",1,0,0,0,0,0,-1
"242","BETAXOLOL HCL 0.5% EYE DROP",1,1,1,1,1,0,-1
"243","BETHANECHOL CHLORIDE 25MG TABLET",1,1,1,1,0,0,-1
"244","BETHANECHOL CHLORIDE 50MG TABLET (100 CT)",1,1,1,1,0,0,-1
"245","BETHANECHOL CHLORIDE 5MG TABLET",1,1,0,0,0,0,-1
"246","BETIMOL 0.5% EYE DROPS",1,0,0,0,0,0,-1
"247","BETIMOL SOLUTION 2.5MG 5 ML BOT",1,0,0,0,0,0,-1
"248","BICALUTAMIDE TABLETS 50MG 100 BOT",1,0,0,0,0,0,-1
"249","BICNU 1 KIT IN 1 CARTON",1,0,0,0,0,0,-1
"250","BILTRICIDE 600MG TABLET",1,0,0,0,0,0,-1
"251","BISOPROLOL FUMARATE 10MG TABLET (100 CT)",1,1,1,1,1,0,-1
"252","BISOPROLOL FUMARATE 5MG TABLET (100 CT)",1,1,1,1,1,0,-1
"253","BISOPROLOL FUMARATE-HCTZ TABLET 10-6.25MG (500 CT)",1,1,1,1,1,0,-1
"254","BISOPROLOL FUMARATE-HCTZ TABLET 2.5-6.25MG (100 CT)",1,1,1,1,1,0,-1
"255","BLEOMYCIN SULFATE 30UNITS VIA",1,1,1,1,1,0,-1
"256","BLEPHAMIDE 0.2% EYE DROPS",1,1,1,1,0,0,-1
"257","BLEPHAMIDE 10-0.2% EYE OINT",1,1,1,1,0,0,-1
"258","BRIMONIDINE TARTRATE 1.5MG/ML",1,1,1,1,1,0,-1
"259","BRIMONIDINE TARTRATE OPHTHALMIC SOLUTION 0.2% 10ML BOTPL",1,1,1,1,1,0,-1
"260","BROMOCRIPTINE MESYLATE 2.5MG/1 24 BOTTLE IN 1 CARTON / 100 TABLET BOTTLE",1,0,0,0,0,0,-1
"261","BROMOCRIPTINE MESYLATE 5MG CAPSULE",1,1,1,1,0,0,-1
"262","BUDEPRION SR 100MG TABLET SA",1,1,0,0,0,0,-1
"263","BUDEPRION SR 150MG TABLET SA",1,1,0,0,0,0,-1
"264","BUMETANIDE 0.25MG/ML VIAL",1,1,1,1,1,0,-1
"265","BUMETANIDE 0.5MG TABLET USP (500 CT)",1,0,0,0,0,0,-1
"266","BUMETANIDE 1MG TABLET USP (500 CT)",1,0,0,0,0,0,-1
"267","BUMETANIDE 2MG TABLET USP (500 CT)",1,0,0,0,0,0,-1
"268","BUPHENYL 500MG TABLET",1,1,0,0,0,0,-1
"269","BUPHENYL POWDER",1,1,0,0,0,0,-1
"270","BUPRENORPHINE 0.3MG/ML SYRN",1,0,1,1,1,0,-1
"271","BUPROBAN ER TABLET",1,0,0,0,0,0,-1
"272","BUPROPION HCL 75MG TABLET",1,0,0,0,0,0,-1
"273","BUPROPION HCL SR 200MG TABLET SA",1,1,1,1,1,0,-1
"274","BUPROPION HCL TABLET 100MG",1,0,0,0,0,0,-1
"275","BUPROPION HYDROCHLORIDE 150MG/1 100 TABLET, EXTENDED RELEASE IN 1 BOTTLE",1,1,0,0,0,0,-1
"276","BUPROPION HYDROCHLORIDE XL 300MG/1 500 TABLET, FILM COATED, EXTENDED RELEASE IN 1 BOTTLE",1,0,0,0,0,0,-1
"277","BUSPIRONE HCL 15MG TABLET (180 CT)",1,1,1,1,0,0,-1
"278","BUSPIRONE HCL 30MG TABLET (60 CT)",1,1,1,1,1,0,-1
"279","BUSPIRONE HCL 7.5MG TABLET",1,1,1,1,1,0,-1
"280","BUSPIRONE HYDROCHLORIDE TABLETS",1,0,0,0,0,0,-1
"281","BUSULFEX 6MG/ML",1,1,1,1,1,0,-1
"282","BUTISOL SODIUM 30MG/5ML 473 ML IN 1 BOTTLE",1,1,0,0,0,0,-1
"283","BUTISOL SODIUM 50MG/1 100 TABLET BOTTLE",1,1,0,0,0,0,-1
"284","BUTORPHANOL TARTRATE 1MG/ML 10 VIAL IN 1 BOX / 1 ML IN 1 VIAL",1,0,0,0,0,0,-1
"285","BUTORPHANOL TARTRATE 2MG/ML 10 VIAL IN 1 BOX / 2 ML IN 1 VIAL",1,0,0,0,0,0,-1
"286","BYETTA 10UG/0.04ML",1,1,0,0,0,0,-1
