"","name","tier_num_2013","tier_num_2016","tier_num_2017","tier_num_2018","tier_diff_2013_2018"
"137","ARANESP 200MCG/0.4ML SYRINGE",2,0,0,0,-2
"138","ARANESP 200MCG/ML VIAL",2,0,0,0,-2
"139","ARANESP 25UG/0.42ML 1 BLISTER PACK IN 1 PACKAGE / 4 SYRINGE IN 1 BLISTER PACK / 0.42 ML IN 1 SYRING",2,0,0,0,-2
"140","ARANESP 25UG/ML 4 VIAL, SINGLE-DOSE IN 1 PACKAGE / 1 ML IN 1 VIAL, SINGLE-DOSE",2,0,0,0,-2
"141","ARANESP 300MCG/ML VIAL",2,0,0,0,-2
"142","ARANESP 500MCG/1ML SYRINGE",2,0,0,0,-2
"143","ARANESP 60MCG/ML VIAL",2,0,0,0,-2
"144","ARANESP 60UG/0.3ML 1 BLISTER PACK IN 1 PACKAGE / 4 SYRINGE IN 1 BLISTER PACK / 0.3 ML IN 1 SYRINGE",2,0,0,0,-2
"145","ARANESP PREFILLED SYRINGE SINGLE USE 150MCG 4 SYR",2,0,0,0,-2
"146","ARANESP PREFILLED SYRINGE SINGLE USE 300MCG/0.6ML 300MCG /0.6ML SYR",2,0,0,0,-2
"147","ARANESP PREFILLED SYRINGE SINGLE USE 40MCG 4 X 40MCG SYR",2,0,0,0,-2
"148","ARANESP SINGLE USE VIAL 40MCG 4 X 40MCG/ 1ML VIALSD",2,0,0,0,-2
"149","ARICEPT TABLETS",2,0,0,0,-2
"150","ASACOL 400MG/1 12 BOTTLE IN 1 CASE / 180 TABLET, DELAYED RELEASE IN 1 BOTTLE",2,0,0,0,-2
"151","ASACOL HD 800MG/1 12 BOTTLE CASE / 180 TABLET, DELAYED RELEASE IN 1 BOTTLE",2,2,0,0,-2
"152","ASMANEX 220UG/1 1 POUCH IN 1 POUCH / 1 INHALER IN 1 POUCH / 14 INHALANT IN 1 INHALER",2,0,0,0,-2
"153","ASMANEX TWISTHALER 110 MCG #30",2,0,0,0,-2
"154","ASMANEX TWISTHALER 220MCG #120",2,0,0,0,-2
"155","ASMANEX TWISTHALER 220MCG #30",2,0,0,0,-2
"156","ASMANEX TWISTHALER 220MCG #60",2,0,0,0,-2
"157","ASTEPRO 0.15% NASAL SPRAY 30 ML",2,2,0,0,-2
"158","ASTRAMORPH PF INJECTION 0.5MG/ML",2,0,0,0,-2
"159","ASTRAMORPH PF INJECTION 1MG/ML",2,0,0,0,-2
"160","ATENOLOL 100MG 100 TABLET BOTTLE",2,0,0,0,-2
"161","ATENOLOL 25MG 100 TABLET BOTTLE",2,0,0,0,-2
"162","ATENOLOL TABLET USP 50MG (100 CT)",2,2,2,0,-2
"163","ATENOLOL/CHLORTHALIDONE TABLET 100-25MG (100 CT)",2,0,0,0,-2
"164","ATORVASTATIN 10 MG TABLET",2,0,0,0,-2
"165","ATORVASTATIN 20 MG TABLET",2,0,0,0,-2
"166","ATORVASTATIN 40 MG TABLET",2,0,0,0,-2
"167","ATORVASTATIN 80 MG TABLET",2,0,0,0,-2
"168","ATOVAQUONE AND PROGUANIL HYDROCHLORIDE 250; 100MG/1; MG/1",2,0,0,0,-2
"169","ATRIPLA 600; 200; 300MG/1; MG/1; MG/1 30 TABLET, FILM COATED IN 1 BOTTLE, PLASTIC",2,0,0,0,-2
"170","AUGMENTED BETAMETHASONE DIPROPIONATE OINTMENT",2,0,0,0,-2
"171","AVELOX 400MG TABLET",2,0,0,0,-2
"172","AVELOX ABC PACK 400MG TABLET",2,0,0,0,-2
"173","AVELOX IV 400MG/250ML",2,0,0,0,-2
"174","AVINZA 120MG CAPSULE MULTIPHASIC RELEASE 24 HR",2,0,0,0,-2
"175","AVINZA 30MG CAPSULE MULTIPHASIC RELEASE 24 HR",2,0,0,0,-2
"176","AVINZA 60MG CAPSULE MULTIPHASIC RELEASE 24 HR",2,0,0,0,-2
"177","AVINZA 90MG CAPSULE MULTIPHASIC RELEASE 24 HR",2,0,0,0,-2
"178","AVINZA CAPSULES EXTENDED RELEASE 45MG 100 BOTPL",2,0,0,0,-2
"179","AVINZA CAPSULES EXTENDED RELEASE 75MG 100 BOTPL",2,0,0,0,-2
"180","AVITA 0.25MG/G 45 G IN 1 TUBE",2,2,2,0,-2
"181","AVODART 0.5MG SOFTGEL",2,0,0,0,-2
"182","AVONEX ADMIN PACK 30MCG SYR",2,0,0,0,-2
"183","AVONEX ADMIN PACK 30MCG VL",2,0,0,0,-2
"184","AZACTAM INJECTION 2GM/VIL",2,0,0,0,-2
"185","AZASITE 1% DROPS",2,0,0,0,-2
"186","AZATHIOPRINE 50MG TABLET",2,0,0,0,-2
"187","AZATHIOPRINE SOD 100MG VIAL",2,0,0,0,-2
"188","AZELASTINE HYDROCHLORIDE OPHTHALMIC SOLUTION",2,2,2,0,-2
"189","AZILECT 0.5MG TABLET",2,2,0,0,-2
"190","AZILECT 1MG TABLET",2,2,0,0,-2
"191","AZITHROMYCIN 100MG/5ML SUSPENSION RECONSTITUTED ORAL",2,0,0,0,-2
"192","AZITHROMYCIN 200MG/5ML SUSPENSION RECONSTITUTED ORAL",2,0,0,0,-2
"193","AZITHROMYCIN 500MG/1 10 VIAL, SINGLE-USE IN 1 TRAY / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",2,0,2,0,-2
"194","AZITHROMYCIN 500MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"195","AZITHROMYCIN 600MG/1 30 TABLET, FILM COATED IN 1 BOTTLE",2,0,0,0,-2
"196","AZOPT SUSPENSION OPHTHALMIC 1% 15ML BOT",2,2,2,0,-2
"197","AZOR 10MG-20MG TABLET",2,2,0,0,-2
"198","AZOR 10MG-40MG TABLET (30 CT)",2,2,0,0,-2
"199","AZOR 5MG-20MG TABLET (30 CT)",2,2,0,0,-2
"200","AZOR 5MG-40MG TABLET",2,2,0,0,-2
"201","BOOSTRIX 8; 2.5; 8; 5; 2.5UG/0.5ML; UG/0.5ML; UG/0.5ML; [IU]/0.5ML; [IU]/0.5ML",2,0,0,0,-2
"202","CEFACLOR CAPSULES",2,0,0,0,-2
"203","CIPRO 1 KIT IN 1 KIT",2,0,0,0,-2
"204","CLARITHROMYCIN FOR ORAL SUSPENSION",2,0,0,0,-2
"205","DESOXIMETASONE 0.5MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,-2
"206","DONEPEZIL HYDROCHLORIDE TABLETS",2,0,0,0,-2
"207","DULERA INHALATION AEROSOL",2,0,0,0,-2
"208","FLUCONAZOLE ORAL SUSPENSION",2,0,0,0,-2
"209","FLUCONAZOLE TABLETS",2,0,0,0,-2
"210","FLUOCINONIDE 0.5MG/G 1 TUBE IN 1 CARTON / 60 G IN 1 TUBE",2,0,0,0,-2
"211","GLIPIZIDE TABLETS EXTENDED RELEASE",2,0,0,0,-2
"212","GLYBURIDE TABLETS",2,0,0,0,-2
"213","HYDROMORPHONE HYDROCHLORIDE TABLETS",2,0,0,0,-2
"214","MORPHINE SULFATE ORAL SOLUTION",2,0,0,0,-2
"215","MORPHINE SULFATE TABLETS",2,0,0,0,-2
"216","NADOLOL TABLETS",2,0,0,0,-2
"217","NARATRIPTAN TABLETS",2,0,0,0,-2
"218","NYSTATIN 100000[USP'U]/G 1 TUBE IN 1 CARTON / 30 G IN 1 TUBE",2,0,0,0,-2
"219","PROPAFENONE HYDROCHLORIDE CAPSULES EXTENDED RELEASE",2,0,0,0,-2
"220","SIMCOR TABLETS EXTENDED RELEASE",2,0,0,0,-2
"221","SORIATANE CAPSULES",2,0,0,0,-2
"222","TORSEMIDE TABLETS",2,0,0,0,-2
"223","TRETINOIN 0.25MG/G 1 TUBE IN 1 CARTON / 45 G IN 1 TUBE",2,0,0,0,-2
"224","ZAFIRLUKAST TABLETS",2,0,0,0,-2
"225","BACITRACIN 500[IU]/G 1 TUBE IN 1 CARTON / 3.5 G IN 1 TUBE",1,0,0,0,-1
"226","BACLOFEN 10MG TABLET",1,1,1,0,-1
"227","BACLOFEN 20MG/1 500 TABLET IN 1 BOTTLE, PLASTIC",1,0,0,0,-1
"228","BALZIVA 6 POUCH IN 1 CARTON / 1 BLISTER PACK IN 1 POUCH / 1 KIT IN 1 BLISTER PACK",1,0,0,0,-1
"229","BARACLUDE 0.05MG/ML 1 BOTTLE IN 1 CARTON / 210 ML IN 1 BOTTLE",1,0,0,0,-1
"230","BARACLUDE 0.5MG TABLET",1,0,0,0,-1
"231","BARACLUDE 1MG TABLET",1,0,0,0,-1
"232","BENAZEPRIL HCL 10MG TABLET",1,1,1,0,-1
"233","BENAZEPRIL HCL 20MG/1 100 TABLET, FILM COATED IN 1 BOTTLE, PLASTIC",1,0,0,0,-1
"234","BENAZEPRIL HCL 40MG TABLET",1,1,1,0,-1
"235","BENAZEPRIL HCL 5MG TABLET",1,1,1,0,-1
"236","BENICAR 20MG TABLET",1,1,0,0,-1
"237","BENICAR 40MG TABLET",1,1,0,0,-1
"238","BENICAR 5MG TABLET",1,1,0,0,-1
"239","BENICAR HCT 20-12.5MG TABLET",1,1,0,0,-1
"240","BENICAR HCT 40-25MG TABLET",1,1,0,0,-1
"241","BENICAR HCT TABLET 12.5-40MG (30 CT)",1,1,0,0,-1
"242","BENZTROPINE MESYLATE 1MG 100 TABLET BOTTLE",1,1,0,0,-1
"243","BENZTROPINE MESYLATE 2MG/1 100 TABLET BOTTLE",1,0,0,0,-1
"244","BENZTROPINE MESYLATE INJECTION 2MG/2ML",1,0,0,0,-1
"245","BENZTROPINE MESYLATE TABLETS",1,0,0,0,-1
"246","BETAMETHASONE DIPROPIONATE 0.05% CREAM",1,0,0,0,-1
"247","BETAMETHASONE DIPROPIONATE 0.60MG/ML 60 ML IN 1 BOTTLE",1,1,1,0,-1
"248","BETAMETHASONE DIPROPIONATE 0.64MG/G 45 G IN 1 TUBE",1,0,0,0,-1
"249","BETAMETHASONE DIPROPIONATE 0.64MG/ML 60 ML IN 1 BOTTLE",1,1,1,0,-1
"250","BETAMETHASONE VALERATE CREAM",1,1,1,0,-1
"251","BETASERON KIT 0.3MG/VIAL 14 TRAY BOX PKGCOM",1,1,1,0,-1
"252","BETAXOLOL HCL 0.5% EYE DROP",1,1,1,0,-1
"253","BETHANECHOL CHLORICDE TABLET",1,0,0,0,-1
"254","BETHANECHOL CHLORIDE 50MG TABLET (100 CT)",1,1,0,0,-1
"255","BETHANECHOL CHLORIDE 5MG TABLET",1,0,0,0,-1
"256","BETHANECHOL CHLORIDE TABLETS",1,0,0,0,-1
"257","BICALUTAMIDE TABLETS 50MG 100 BOT",1,0,0,0,-1
"258","BICILLIN C-R 1.2MM UNITS SYR 2ML X 10",1,0,0,0,-1
"259","BICILLIN C-R 900/300 SYRINGE 2ML X 10",1,0,0,0,-1
"260","BICNU 1 KIT IN 1 CARTON",1,0,0,0,-1
"261","BILTRICIDE 600MG TABLET",1,0,0,0,-1
"262","BISOPROLOL FUMARATE 10MG TABLET (100 CT)",1,1,1,0,-1
"263","BISOPROLOL FUMARATE 5MG TABLET (100 CT)",1,1,1,0,-1
"264","BISOPROLOL FUMARATE-HCTZ TABLET 10-6.25MG (500 CT)",1,1,1,0,-1
"265","BISOPROLOL FUMARATE-HCTZ TABLET 2.5-6.25MG (100 CT)",1,1,1,0,-1
"266","BONIVA 3MG/3ML SYRINGE",1,0,0,0,-1
"267","BRIELLYN",1,0,0,0,-1
"268","BRILINTA 90MG/1 60 TABLET IN 1 BOTTLE",1,0,0,0,-1
"269","BRIMONIDINE TARTRATE OPHTHALMIC SOLUTION 0.2% 10ML BOTPL",1,1,1,0,-1
"270","BROMDAY 0.9MG/ML",1,0,0,0,-1
"271","BROMOCRIPTINE MESYLATE 2.5MG/1 24 BOTTLE IN 1 CARTON / 100 TABLET IN 1 BOTTLE",1,0,0,0,-1
"272","BUDEPRION SR 100MG TABLET SA",1,0,0,0,-1
"273","BUDEPRION SR 150MG TABLET SA",1,0,0,0,-1
"274","BUDEPRION XL 300MG TABLET SR 24HR",1,0,0,0,-1
"275","BUDEPRION XL TABLETS 150MG 500 TABLETS BOT",1,0,0,0,-1
"276","BUMETANIDE 0.5MG TABLET USP (500 CT)",1,0,0,0,-1
"277","BUMETANIDE 1MG TABLET USP (500 CT)",1,0,0,0,-1
"278","BUMETANIDE 2MG TABLET USP (500 CT)",1,0,0,0,-1
"279","BUPHENYL 500MG TABLET",1,0,0,0,-1
"280","BUPHENYL POWDER",1,0,0,0,-1
"281","BUPRENORPHINE HCL 2MG/1 30 TABLET IN 1 BOTTLE",1,0,0,0,-1
"282","BUPRENORPHINE HCL 8MG/1 30 TABLET IN 1 BOTTLE",1,0,0,0,-1
"283","BUPROBAN ER TABLET",1,0,0,0,-1
"284","BUPROPION HCL 75MG TABLET",1,0,0,0,-1
"285","BUPROPION HCL SR 200MG TABLET SA",1,1,1,0,-1
"286","BUPROPION HCL TABLET 100MG",1,0,0,0,-1
"287","BUPROPION HYDROCHLORIDE 150MG/1 100 TABLET, EXTENDED RELEASE IN 1 BOTTLE",1,0,0,0,-1
"288","BUSPIRONE HCL 15MG TABLET (180 CT)",1,1,0,0,-1
"289","BUSPIRONE HCL 30MG TABLET (60 CT)",1,1,1,0,-1
"290","BUSPIRONE HCL 7.5MG TABLET",1,1,1,0,-1
"291","BUSPIRONE HYDROCHLORIDE TABLETS",1,0,0,0,-1
"292","BUSULFEX 6MG/ML",1,1,1,0,-1
"293","BUTORPHANOL TARTRATE 1MG/ML 10 VIAL IN 1 BOX / 1 ML IN 1 VIAL",1,0,0,0,-1
"294","BUTORPHANOL TARTRATE 2MG/ML 10 VIAL IN 1 BOX / 2 ML IN 1 VIAL",1,0,0,0,-1
"295","BYETTA 10UG/0.04ML",1,0,0,0,-1
"296","BYETTA 5MCG/0.02ML PEN INJ",1,0,0,0,-1
"297","BYSTOLIC 10MG 100 TABLET IN BLISTER PACK",1,0,0,0,-1
"298","BYSTOLIC 2.5MG 100 TABLETBOTTLE",1,0,0,0,-1
"299","BYSTOLIC TABLETS 20MG 100 BOT",1,0,0,0,-1
"300","CALCIPOTRIENE 50UG/G 60 G IN 1 CARTON",1,0,0,0,-1
"301","CALCIPOTRIENE TOPICAL SOLUTION",1,1,1,0,-1
"302","CALCITRIOL 0.25MCG CAPSULE",1,1,1,0,-1
"303","CALCITRIOL 0.5MCG CAPSULE",1,1,0,0,-1
"304","CALCITRIOL INJ 1MCG/ML",1,0,0,0,-1
"305","CAMILA 0.35MG TABLET",1,1,0,0,-1
"306","CAMPATH INJECTION 30 MG/ML",1,0,0,0,-1
"307","CAMPRAL 333MG/1 180 TABLET, DELAYED RELEASE IN 1 BOTTLE",1,0,0,0,-1
"308","CANASA RECTAL SUPPOSITORIES 1000MG 30 BOX",1,1,0,0,-1
"309","CAPASTAT SULFATE 1G/1 1 INJECTION, POWDER, FOR SOLUTION IN 1 CARTON",1,0,0,0,-1
"310","CAPRELSA 100MG/1 30 TABLET IN 1 BOTTLE, PLASTIC",1,0,0,0,-1
"311","CAPRELSA 300MG/1 30 TABLET IN 1 BOTTLE, PLASTIC",1,0,0,0,-1
"312","CAPTOPRIL 100MG TABLET",1,1,1,0,-1
"313","CAPTOPRIL 12.5MG TABLET",1,1,1,0,-1
